Salary €,Tax %,Tax €,Income €
100,19.0,228,972
200,19.0,456,1944
300,19.0,684,2916
400,19.0,912,3888
500,19.0,1140,4860
600,19.0,1368,5832
700,19.0,1596,6804
800,19.0,1824,7776
900,19.0,2052,8748
1000,19.0,2280,9720
1100,19.28,2546,10654
1200,19.68,2834,11566
1300,20.01,3122,12478
1400,20.29,3410,13390
1500,20.54,3698,14302
1600,20.76,3986,15214
1700,21.01,4286,16114
1800,21.51,4646,16954
1900,21.95,5006,17794
2000,22.36,5366,18634
2100,22.72,5726,19474
2200,23.05,6086,20314
2300,23.35,6446,21154
2400,23.63,6806,21994
2500,23.89,7166,22834
2600,24.12,7526,23674
2700,24.34,7886,24514
2800,24.54,8246,25354
2900,24.73,8606,26194
3000,25.06,9022,26978
3100,25.44,9466,27734
3200,25.81,9910,28490
3300,26.15,10354,29246
3400,26.46,10798,30002
3500,26.77,11242,30758
3600,27.05,11686,31514
3700,27.32,12130,32270
3800,27.57,12574,33026
3900,27.82,13018,33782
4000,28.04,13462,34538
4100,28.26,13906,35294
4200,28.47,14350,36050
4300,28.67,14794,36806
4400,28.86,15238,37562
4500,29.04,15682,38318
4600,29.21,16126,39074
4700,29.38,16570,39830
4800,29.54,17014,40586
4900,29.69,17458,41342
5000,29.84,17902,42098
5100,30.13,18442,42758
5200,30.42,18982,43418
5300,30.69,19522,44078
5400,30.96,20062,44738
5500,31.21,20602,45398
5600,31.46,21142,46058
5700,31.7,21682,46718
5800,31.93,22222,47378
5900,32.15,22762,48038
6000,32.36,23302,48698
6100,32.57,23842,49358
6200,32.77,24382,50018
6300,32.96,24922,50678
6400,33.15,25462,51338
6500,33.34,26002,51998
6600,33.51,26542,52658
6700,33.68,27082,53318
6800,33.85,27622,53978
6900,34.01,28162,54638
7000,34.17,28702,55298
7100,34.32,29242,55958
7200,34.47,29782,56618
7300,34.61,30322,57278
7400,34.75,30862,57938
7500,34.89,31402,58598
7600,35.02,31942,59258
7700,35.15,32482,59918
7800,35.28,33022,60578
7900,35.4,33562,61238
8000,35.52,34102,61898
8100,35.64,34642,62558
8200,35.75,35182,63218
8300,35.86,35722,63878
8400,35.97,36262,64538
8500,36.08,36802,65198
8600,36.18,37342,65858
8700,36.28,37882,66518
8800,36.38,38422,67178
8900,36.48,38962,67838
9000,36.58,39502,68498
9100,36.67,40042,69158
9200,36.76,40582,69818
9300,36.85,41122,70478
9400,36.93,41662,71138
9500,37.02,42202,71798
9600,37.1,42742,72458
9700,37.18,43282,73118
9800,37.26,43822,73778
9900,37.34,44362,74438
10000,37.42,44902,75098
